X,Y,OBJECTID,ADDRESS,FOLDERTYPE,FILENO,INDATE,ISSUEDATE,WORKDESC,SUBDESC,FOLDERSTATUSDESC,REFERENCEFILE,RESUNITS,CONSTRUCTVALUE,PROPINFOVALUE_WARD
597931.610830002,4798274.77463,6654,432 SMITH AVE.   ,SO Other Single Detached Dwelling,24-013890,2024/07/12 00:00:00+00,2024/07/23 00:00:00+00,Demolition -Building,Single Detached Dwelling,Final,,,15000,2
598157.080080003,4798045.70301,6655,348 SMITH AVE.   ,SO Other Single Detached Dwelling,24-004970,2024/03/19 00:00:00+00,2024/04/30 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-002/24,0,800000,2
598080.828160002,4798131.60725,6656,376 SMITH AVE.   ,SO Other Single Detached Dwelling,24-004862,2024/03/18 00:00:00+00,2024/04/17 00:00:00+00,New,Accessory Building,Issued,ZC-025/24,0,140000,2
598080.828160002,4798131.60725,6657,376 SMITH AVE.   ,SO Other Single Detached Dwelling,24-006182,2024/04/02 00:00:00+00,2024/06/07 00:00:00+00,Addition,Single Detached Dwelling,Issued,ZC-025/24,0,654811.2,2
598080.828160002,4798131.60725,6658,376 SMITH AVE.   ,PL Plumbing,24-000439,2024/01/08 00:00:00+00,2024/01/11 00:00:00+00,External Plumbing - New,Single Detached Dwelling,Final,,,2000,2
589785.625000002,4796484.5,6660,1786 SNAKE RD.   ,SO Other Single Detached Dwelling,24-005560,2024/03/26 00:00:00+00,2024/04/03 00:00:00+00,Demolition -Building,Single Detached Dwelling,Final,,,2000,1
589785.625000002,4796484.5,6661,1786 SNAKE RD.   ,PL Plumbing,24-005543,2024/03/26 00:00:00+00,2024/06/05 00:00:00+00,Septic System - New,Single Detached Dwelling,Final,,,10000,1
589894.590250002,4797313.33868,6664,1950 SNAKE RD.   ,SO Other Single Detached Dwelling,23-002700,2023/02/16 00:00:00+00,2023/04/13 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,2500,1
589894.590250002,4797313.33868,6665,1950 SNAKE RD.   ,SO Other Single Detached Dwelling,22-026001,2022/12/21 00:00:00+00,2023/01/17 00:00:00+00,Renovation (No ZC Reqd),Single Detached Dwelling,Final,,0,49496,1
589940.157420002,4797367.84177,6666,1962 SNAKE RD.   ,PL Plumbing,22-015786,2022/07/25 00:00:00+00,2022/08/12 00:00:00+00,Septic System - New,Single Detached Dwelling,Issued,,,38000,1
